Metric,Value
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,3512.6
design__instance__displacement__mean,0.132
design__instance__displacement__max,10.92
route__wirelength__estimated,542619
design__violations,0
design__instance__count__class:timing_repair_buffer,1392
design__instance__area__class:timing_repair_buffer,10682.7
flow__warnings__count:RSZ-0020,1
flow__warnings__count:RSZ-0065,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,533
design__instance__area__class:clock_buffer,7094.3
design__instance__count__class:clock_inverter,77
design__instance__area__class:clock_inverter,799.517
flow__warnings__count:CTS-0041,2
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,4
global_route__vias,106
global_route__wirelength,940000
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
design__instance__count__class:antenna_cell,2990
design__instance__area__class:antenna_cell,7482.18
antenna_diodes_count,7
route__net,16477
route__net__special,2
route__drc_errors__iter:0,81
route__wirelength__iter:0,644970
route__drc_errors__iter:1,4
route__wirelength__iter:1,644906
route__drc_errors__iter:2,1
route__wirelength__iter:2,644901
route__drc_errors__iter:3,0
route__wirelength__iter:3,644908
route__drc_errors__iter:4,8
route__wirelength__iter:4,644883
route__drc_errors__iter:5,0
route__wirelength__iter:5,644888
route__drc_errors,0
route__wirelength,644908
route__vias,131551
route__vias__singlecut,131551
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,336
design__critical_disconnected_pin__count,0
route__wirelength__max,811.88
timing__unannotated_net__count__corner:nom_tt_025C_1v80,803
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,803
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,803
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,168
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.3808893308563515
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2520477231601078
timing__hold__ws__corner:min_tt_025C_1v80,0.29915670787333554
timing__setup__ws__corner:min_tt_025C_1v80,5.673394359334128
timing__hold__tns__corner:min_tt_025C_1v80,0
timing__setup__tns__corner:min_tt_025C_1v80,0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.299157
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,11.229963
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,803
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,34
design__max_fanout_violation__count__corner:min_ss_100C_1v60,168
design__max_cap_violation__count__corner:min_ss_100C_1v60,2
clock__skew__worst_hold__corner:min_ss_100C_1v60,-2.727370406715784
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.36388892928867234
timing__hold__ws__corner:min_ss_100C_1v60,0.7063700935218595
timing__setup__ws__corner:min_ss_100C_1v60,2.9183714049173335
timing__hold__tns__corner:min_ss_100C_1v60,0
timing__setup__tns__corner:min_ss_100C_1v60,0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.70637
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,3.168484
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,803
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,168
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-2.22616864576879
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.20632783565678964
timing__hold__ws__corner:min_ff_n40C_1v95,0.15011015078050347
timing__setup__ws__corner:min_ff_n40C_1v95,6.776748243266303
timing__hold__tns__corner:min_ff_n40C_1v95,0
timing__setup__tns__corner:min_ff_n40C_1v95,0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.15011
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,14.431055
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,803
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,168
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.432260239837046
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.26952307815115445
timing__hold__ws__corner:max_tt_025C_1v80,0.29674263886031604
timing__setup__ws__corner:max_tt_025C_1v80,5.500256406014789
timing__hold__tns__corner:max_tt_025C_1v80,0
timing__setup__tns__corner:max_tt_025C_1v80,0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.296743
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,10.631237
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,803
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,803
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,168
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-2.2678983777309685
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2257669531893322
timing__hold__ws__corner:max_ff_n40C_1v95,0.1494933108505763
timing__setup__ws__corner:max_ff_n40C_1v95,6.677098174471332
timing__hold__tns__corner:max_ff_n40C_1v95,0
timing__setup__tns__corner:max_ff_n40C_1v95,0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.149493
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,14.037786
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,803
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,803
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:max_ss_100C_1v60,1.59973
design_powergrid__drop__average__net:VPWR__corner:max_ss_100C_1v60,1.59995
design_powergrid__drop__worst__net:VPWR__corner:max_ss_100C_1v60,0.000271242
design_powergrid__voltage__worst__net:VGND__corner:max_ss_100C_1v60,0.00021813
design_powergrid__drop__average__net:VGND__corner:max_ss_100C_1v60,0.0000511789
design_powergrid__drop__worst__net:VGND__corner:max_ss_100C_1v60,0.00021813
design_powergrid__voltage__worst,0.00021813
design_powergrid__voltage__worst__net:VPWR,1.59973
design_powergrid__drop__worst,0.000271242
design_powergrid__drop__worst__net:VPWR,0.000271242
design_powergrid__voltage__worst__net:VGND,0.00021813
design_powergrid__drop__worst__net:VGND,0.00021813
ir__voltage__worst,1.6
ir__drop__avg,0.0000513
ir__drop__worst,0.000271
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
