Metric,Value
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0.46
design__instance__displacement__mean,0
design__instance__displacement__max,0.46
route__wirelength__estimated,563585
design__violations,0
design__instance__count__class:timing_repair_buffer,1523
design__instance__area__class:timing_repair_buffer,11693.7
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,534
design__instance__area__class:clock_buffer,7051.76
design__instance__count__class:clock_inverter,81
design__instance__area__class:clock_inverter,957.168
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1
global_route__vias,749
global_route__wirelength,968001
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
route__net,18836
route__net__special,2
route__drc_errors__iter:0,928
route__wirelength__iter:0,652789
route__drc_errors__iter:1,141
route__wirelength__iter:1,652476
route__drc_errors__iter:2,77
route__wirelength__iter:2,652403
route__drc_errors__iter:3,0
route__wirelength__iter:3,652366
route__drc_errors__iter:4,2
route__wirelength__iter:4,652174
route__drc_errors__iter:5,2
route__wirelength__iter:5,652174
route__drc_errors__iter:6,0
route__wirelength__iter:6,652179
route__drc_errors,0
route__wirelength,652366
route__vias,135185
route__vias__singlecut,135185
route__vias__multicut,0
antenna_diodes_count,56
design__instance__count__class:antenna_cell,56
design__instance__area__class:antenna_cell,140.134
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,821.73
timing__unannotated_net__count__corner:nom_tt_025C_1v80,278
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,278
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,278
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.176078934194748
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.24658142892146603
timing__hold__ws__corner:min_tt_025C_1v80,0.26429525982494667
timing__setup__ws__corner:min_tt_025C_1v80,5.769768826024605
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.264295
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,10.980741
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,278
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,0
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,-2.3453999406474755
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.3542086724185843
timing__hold__ws__corner:min_ss_100C_1v60,0.6452980554776241
timing__setup__ws__corner:min_ss_100C_1v60,2.1663311757628536
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
